Account Number,Company,Contact,Account Manager,Product,Licenses,Sale Price,Status
2123398,Google,Larry Pager,Edward Throp,Analytics,150,2100000,Presented
123398,Google,Larry Pager,Edward Throp,Prediction,150,700000,Presented
123398,Google,Larry Pager,Edward Throp,Tracking,300,350000,Under Review
2192650,BOBO,Larry Pager,Edward Throp,Analytics,150,2450000,Lost
420496,IKEA,Elon Tusk,Edward Throp,Analytics,300,4550000,Won
636685,Tesla Inc.,Elon Tusk,Edward Throp,Analytics,300,2800000,Under Review
405886,Apple,Cindy Phoner,Clause Shannon,Analytics,300,4550000,Won
470248,Exxon Mobile,Cindy Phoner,Clause Shannon,Analytics,150,2100000,Under Review
698032,ATT,Cindy Phoner,Clause Shannon,Tracking,150,350000,Under Review
698032,ATT,Cindy Phoner,Clause Shannon,Prediction,150,700000,Presented
902797,CVS Health,Emma Gordian,Clause Shannon,Tracking,450,490000,Won
169499,Salesforce,Emma Gordian,Clause Shannon,Analytics,750,7000000,WOn
2169499,Cisco,Emma Gordian,Clause Shannon,Analytics,300,4550000,Lost
169499,Cisco,Emma Gordian,Clause Shannon,GPS Positioning,300,350000,Presented





