total_bill,tip,sex,smoker,day,time,size,CC Number
16.99,1.01,Female,No,Sun,Dinner,2,109596786
10.34,1.66,Male,No,Sun,Dinner,3,561361528
21.01,3.5,Male,No,Sun,Dinner,3,787289728
23.68,3.31,Male,No,Sun,Dinner,2,345121808
24.59,3.61,Female,No,Sun,Dinner,4,688686567
25.29,4.71,Male,No,Sun,Dinner,4,167238516
8.77,2.0,Male,No,Sun,Dinner,2,441305743
26.88,3.12,Male,No,Sun,Dinner,4,673897484
15.04,1.96,Male,No,Sun,Dinner,2,618235685
14.78,3.23,Male,No,Sun,Dinner,2,453473361
10.27,1.71,Male,No,Sun,Dinner,2,349645842
35.26,5.0,Female,No,Sun,Dinner,4,918684331
15.42,1.57,Male,No,Sun,Dinner,2,219209837
18.43,3.0,Male,No,Sun,Dinner,4,841928354
14.83,3.02,Female,No,Sun,Dinner,2,144290374
21.58,3.92,Male,No,Sun,Dinner,2,230885847
10.33,1.67,Female,No,Sun,Dinner,3,207805433
16.29,3.71,Male,No,Sun,Dinner,3,636923308
16.97,3.5,Female,No,Sun,Dinner,3,354415944
20.65,3.35,Male,No,Sat,Dinner,3,163854494
17.92,4.08,Male,No,Sat,Dinner,2,899539528
20.29,2.75,Female,No,Sat,Dinner,2,788257467
15.77,2.23,Female,No,Sat,Dinner,2,405893045
39.42,7.58,Male,No,Sat,Dinner,4,456287556
19.82,3.18,Male,No,Sat,Dinner,2,461291860
17.81,2.34,Male,No,Sat,Dinner,4,787152627
13.37,2.0,Male,No,Sat,Dinner,2,389917736
12.69,2.0,Male,No,Sat,Dinner,2,787047867
21.7,4.3,Male,No,Sat,Dinner,2,995503065
19.65,3.0,Female,No,Sat,Dinner,2,491043798
9.55,1.45,Male,No,Sat,Dinner,2,380742520
18.35,2.5,Male,No,Sat,Dinner,4,805017478
15.06,3.0,Female,No,Sat,Dinner,2,266498236
20.69,2.45,Female,No,Sat,Dinner,4,874533958
17.78,3.27,Male,No,Sat,Dinner,2,542851986
24.06,3.6,Male,No,Sat,Dinner,3,648998851
16.31,2.0,Male,No,Sat,Dinner,3,506321312
16.93,3.07,Female,No,Sat,Dinner,3,252147078
18.69,2.31,Male,No,Sat,Dinner,3,412000208
31.27,5.0,Male,No,Sat,Dinner,3,962578348
16.04,2.24,Male,No,Sat,Dinner,3,762200435
17.46,2.54,Male,No,Sun,Dinner,2,690101477
13.94,3.06,Male,No,Sun,Dinner,2,614453071
9.68,1.32,Male,No,Sun,Dinner,2,522611682
30.4,5.6,Male,No,Sun,Dinner,4,366593688
18.29,3.0,Male,No,Sun,Dinner,2,967724099
22.23,5.0,Male,No,Sun,Dinner,2,190088852
32.4,6.0,Male,No,Sun,Dinner,4,599189204
28.55,2.05,Male,No,Sun,Dinner,3,205509893
18.04,3.0,Male,No,Sun,Dinner,2,642186462
12.54,2.5,Male,No,Sun,Dinner,2,600755230
10.29,2.6,Female,No,Sun,Dinner,2,796194412
34.81,5.2,Female,No,Sun,Dinner,4,446770376
9.94,1.56,Male,No,Sun,Dinner,2,730763405
